,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
271,vao,100,EE,1573225440,97,59.1,26.19,2.74,1.95
272,timmins,90,CA,1573225441,84,48.48,-81.33,-14.0,1.0
273,dom pedrito,0,BR,1573225441,53,-30.98,-54.67,25.57,3.74
274,ixtapa,75,MX,1573225441,88,20.71,-105.21,27.22,1.6
275,butaritari,32,KI,1573225442,66,3.07,172.79,29.01,3.71
276,usinsk,73,RU,1573225442,99,66.0,57.56,-17.03,3.25
277,nizwa,70,OM,1573225442,35,22.93,57.53,24.66,0.93
278,mayya,80,RU,1573225443,74,61.74,130.28,-30.0,1.0
279,salalah,20,OM,1573225443,74,17.01,54.1,28.0,3.1
280,marechal floriano,20,BR,1573225443,52,-20.41,-40.67,32.0,5.1
281,qeshm,0,IR,1573225444,61,26.96,56.27,28.0,2.1
282,misratah,48,LY,1573225444,42,32.38,15.09,22.98,4.01
283,jumla,0,NP,1573225444,79,29.28,82.18,4.23,2.37
284,barcelos,7,BR,1573225445,35,-0.97,-62.93,37.69,0.95
285,lethem,17,GY,1573225445,45,3.38,-59.8,33.65,4.43
286,port shepstone,89,ZA,1573225445,74,-30.74,30.45,19.02,4.77
287,kungsbacka,75,SE,1573225177,93,57.49,12.08,7.22,4.6
288,sisimiut,100,GL,1573225446,52,66.94,-53.67,-1.23,5.02
289,vardo,90,US,1573225446,51,39.62,-77.74,3.33,5.1
290,harer,1,US,1573225447,92,42.19,-111.17,0.0,0.69
291,zhigansk,56,RU,1573225447,96,66.77,123.37,-29.65,4.31
292,elizabeth city,1,US,1573225447,45,36.3,-76.22,9.44,7.2
293,finschhafen,98,PG,1573225447,72,-6.6,147.85,27.91,2.8
294,yenagoa,73,NG,1573225447,77,4.92,6.26,29.53,1.86
295,lincoln,40,GB,1573225369,81,53.23,-0.54,9.0,6.7
296,gobabis,70,NA,1573225448,20,-22.45,18.97,30.78,2.91
297,morondava,97,MG,1573225448,64,-20.3,44.28,26.82,2.36
298,dickinson,1,US,1573225448,73,46.88,-102.79,-2.78,3.6
299,beringovskiy,78,RU,1573225449,92,63.05,179.32,-4.49,7.53
300,udachnyy,90,RU,1573225449,83,66.42,112.4,-20.0,5.0
301,asosa,100,ET,1573225343,88,10.07,34.53,21.05,1.77
302,north branch,75,US,1573225449,67,45.51,-92.98,-5.0,4.1
303,abbeville,90,FR,1573225450,100,50.11,1.83,8.0,1.5
304,fergus falls,1,US,1573225450,79,46.28,-96.08,-5.0,4.1
305,ancud,0,CL,1573225450,57,-41.87,-73.83,11.0,4.6
306,akureyri,100,IS,1573225450,86,65.68,-18.09,-3.0,4.6
307,santiago del estero,0,AR,1573225451,39,-27.8,-64.26,30.28,5.15
308,labuhan,10,ID,1573225451,93,-2.54,115.51,23.25,0.87
309,tasiilaq,75,GL,1573225451,55,65.61,-37.64,3.0,18.0
310,kampong cham,85,KH,1573225451,89,11.99,105.46,23.19,2.94
311,tevaitoa,98,PF,1573225451,78,-16.78,-151.5,27.05,8.94
312,oliveira dos brejinhos,0,BR,1573225452,21,-12.32,-42.89,39.1,0.92
313,galveston,1,US,1573225452,79,40.58,-86.19,-2.22,2.53
314,sabana grande de boya,20,DO,1573225452,83,18.95,-69.79,29.44,2.21
315,goroka,97,PG,1573225452,95,-6.07,145.39,14.26,1.33
316,geraldton,90,CA,1573225453,78,49.72,-86.95,-11.0,2.1
317,tambun,20,ID,1573225453,54,-6.26,107.07,27.22,2.6
318,baghdad,0,IQ,1573225258,31,33.3,44.38,25.0,2.6
319,jingdezhen,0,CN,1573225453,70,29.29,117.2,11.78,2.07
320,paamiut,90,GL,1573225454,52,61.99,-49.67,5.54,4.0
321,poum,75,MK,1573225454,82,41.28,20.71,13.0,3.1
322,belyye berega,40,RU,1573225454,93,53.21,34.66,6.0,1.0
323,bowen,0,AU,1573225454,88,-20.01,148.25,21.67,3.1
324,severomorsk,40,RU,1573225455,77,69.07,33.42,-15.0,0.36
325,kavaratti,67,IN,1573225455,70,10.57,72.64,28.14,3.73
326,gadsden,1,US,1573225455,70,34.01,-86.01,7.22,4.6
327,tuatapere,100,NZ,1573225455,78,-46.13,167.69,13.33,0.84
328,high level,90,CA,1573225455,85,58.52,-117.13,-8.0,5.1
329,verkh-usugli,2,RU,1573225456,89,52.7,115.17,-5.61,1.21
330,huarmey,96,PE,1573225456,49,-10.07,-78.15,24.73,3.44
331,sao geraldo do araguaia,2,BR,1573225456,32,-6.4,-48.55,37.98,2.08
332,ribeira grande,40,PT,1573225456,72,38.52,-28.7,20.0,3.6
333,brownwood,90,US,1573225457,73,31.71,-98.99,4.0,4.6
334,skjervoy,75,NO,1573225457,100,70.03,20.97,-5.0,0.5
335,saldanha,0,PT,1573225457,50,41.42,-6.55,10.48,7.37
336,torbay,90,CA,1573225457,81,47.66,-52.73,9.0,6.7
337,los llanos de aridane,75,ES,1573225457,88,28.66,-17.92,21.0,6.2
338,pascagoula,90,US,1573225458,93,30.37,-88.56,14.0,6.7
339,virtsu,75,EE,1573225458,93,58.57,23.51,7.78,3.6
340,hobyo,11,SO,1573225458,72,5.35,48.53,27.61,4.49
341,manga,0,PK,1573225458,68,31.31,74.05,20.0,1.5
342,senador jose porfirio,29,BR,1573225459,48,-2.59,-51.95,33.81,0.72
343,carballo,40,ES,1573225459,66,43.21,-8.69,14.44,4.6
344,batagay,94,RU,1573225459,96,67.65,134.64,-21.1,1.15
345,plastun,23,RU,1573225460,65,44.76,136.29,-6.29,2.09
346,lagoa,20,PT,1573225460,34,37.14,-8.45,18.89,6.7
347,soyo,57,AO,1573225460,70,-6.13,12.37,29.77,3.82
348,yablonovo,75,RU,1573225460,87,50.85,37.36,9.0,3.0
349,kingseat,20,GB,1573225460,75,56.1,-3.41,7.0,2.1
350,trzebiatow,82,PL,1573225461,87,54.06,15.26,10.0,2.1
351,cao bang,29,VN,1573225461,75,22.67,106.25,15.35,1.14
352,kyaukse,90,MM,1573225461,88,21.6,96.13,25.0,1.5
353,chipoka,0,MW,1573225461,52,-13.99,34.52,29.68,1.84
354,gunnedah,90,AU,1573225462,45,-30.98,150.25,17.0,6.2
355,nhulunbuy,44,AU,1573225462,83,-12.18,136.78,26.0,2.6
356,manaus,40,BR,1573225462,66,-3.13,-59.98,31.0,2.6
357,mitzic,100,GA,1573225462,91,0.78,11.55,25.88,2.05
358,dingle,0,PH,1573225463,87,11.0,122.67,23.37,1.21
359,yar-sale,0,RU,1573225463,96,66.83,70.83,-19.99,5.05
360,manzanillo,40,MX,1573225280,88,19.05,-104.32,26.0,5.1
361,tari,97,NG,1573225463,12,12.41,4.49,37.05,2.78
362,mount gambier,75,AU,1573225463,81,-37.83,140.78,8.0,4.6
363,buluang,40,PH,1573225464,83,10.47,123.98,26.0,1.8
364,araouane,0,ML,1573225464,11,18.9,-3.53,34.77,1.73
365,suriapet,62,IN,1573225464,77,17.15,79.62,24.22,2.74
366,hambantota,75,LK,1573225464,100,6.12,81.12,27.0,2.1
367,lasa,20,CY,1573225464,69,34.92,32.53,26.0,1.0
368,aksu,90,KZ,1573225465,80,52.04,76.93,4.0,9.0
369,kruisfontein,99,ZA,1573225465,68,-34.0,24.73,17.38,5.86
370,muravlenko,98,RU,1573225465,97,63.79,74.5,-21.72,7.61
371,evensk,90,RU,1573225465,69,61.92,159.24,-5.77,5.57
372,ikot ekpene,97,NG,1573225466,73,5.18,7.71,29.37,2.04
373,mingoyo,75,TZ,1573225466,74,-10.1,39.64,28.0,5.1
374,muros,40,ES,1573225466,71,42.77,-9.06,15.0,4.1
375,ust-maya,99,RU,1573225466,95,60.42,134.54,-25.17,1.02
376,praia da vitoria,20,PT,1573225467,68,38.73,-27.07,20.0,2.77
377,aberystwyth,0,GB,1573225467,77,52.41,-4.08,7.78,2.24
378,cherskiy,27,RU,1573225467,71,68.75,161.3,-10.82,2.11
379,vanavara,100,RU,1573225467,96,60.35,102.28,-1.6,5.02
380,manggar,0,ID,1573225468,64,-2.88,108.27,29.26,1.77
381,mantua,75,IT,1573225468,87,45.16,10.79,13.33,1.5
382,along,91,IN,1573225468,78,28.17,94.8,18.15,1.48
383,houlton,90,US,1573225468,79,46.13,-67.84,-3.0,5.7
384,adrar,0,DZ,1573225468,18,27.87,-0.29,27.0,4.1
385,komsomolskiy,83,RU,1573225469,98,67.55,63.78,-16.13,3.38
386,kyzyl-suu,0,KG,1573225469,55,42.34,78.0,4.51,1.16
387,antalaha,8,MG,1573225469,80,-14.9,50.28,26.1,3.8
388,moose factory,90,CA,1573225469,78,51.26,-80.61,-11.0,4.6
389,great falls,40,US,1573225470,39,47.5,-111.29,12.0,9.3
390,cotonou,20,BJ,1573225470,74,6.37,2.43,31.0,4.6
391,sitka,66,US,1573225470,64,37.17,-99.65,3.89,3.13
392,phalombe,92,MW,1573225470,51,-15.81,35.65,27.17,1.21
393,rio verde de mato grosso,100,BR,1573225471,60,-18.92,-54.84,28.21,1.9
394,amberley,100,NZ,1573225471,45,-43.15,172.73,19.44,2.1
395,bogotol,100,RU,1573225471,76,56.21,89.53,1.11,8.07
396,deputatskiy,80,RU,1573225471,91,69.3,139.9,-22.12,1.19
397,heihe,0,RU,1573225472,43,50.24,127.51,-10.0,1.0
398,north bend,90,US,1573225472,100,43.41,-124.22,8.33,2.1
399,kutum,0,SD,1573225472,12,14.2,24.66,28.38,3.99
400,bitung,20,ID,1573225472,88,1.44,125.19,25.0,0.8
401,mwinilunga,99,ZM,1573225472,79,-11.73,24.43,18.07,1.9
402,chumikan,79,RU,1573225473,50,54.72,135.31,-10.29,9.54
403,zalesovo,100,RU,1573225473,96,54.0,84.74,1.82,8.14
404,sebeta,30,ET,1573225474,58,8.91,38.62,16.32,3.67
405,port hedland,100,AU,1573225288,73,-20.31,118.58,24.0,3.1
406,priiskovyy,1,RU,1573225474,85,51.93,116.63,-5.47,1.95
407,marrakesh,40,MA,1573225474,49,31.63,-7.99,20.0,3.1
408,labis,100,MY,1573225474,83,2.38,103.02,23.66,0.48
409,ilhabela,66,BR,1573225475,85,-23.78,-45.36,23.57,0.65
410,bud,0,NO,1573225475,64,62.91,6.91,2.0,2.1
411,wewak,100,PG,1573225475,84,-3.55,143.63,23.9,2.16
412,provideniya,64,RU,1573225475,86,64.42,-173.23,-4.8,7.95
413,olinda,75,AU,1573225476,75,-37.84,145.39,10.0,7.2
414,kentau,0,KZ,1573225476,37,43.52,68.5,8.43,2.87
415,sola,68,TZ,1573225476,36,-3.17,33.8,29.46,1.4
416,providencia,40,CO,1573225476,68,1.24,-77.6,20.0,3.1
417,itabira,20,BR,1573225477,38,-19.62,-43.23,31.0,2.1
418,gandajika,100,CD,1573225477,82,-6.75,23.95,26.56,1.37
419,teeli,100,RU,1573225477,58,51.01,90.2,-1.83,4.06
420,coatzacoalcos,90,MX,1573225477,88,18.14,-94.45,24.0,2.76
421,mehran,0,IR,1573225478,18,33.12,46.17,18.0,2.04
422,tigil,100,RU,1573225478,74,57.8,158.67,1.54,8.52
423,renqiu,0,CN,1573225478,65,38.71,116.1,10.28,1.01
424,katherine,51,AU,1573225478,52,-14.47,132.26,31.0,5.7
425,taoudenni,74,ML,1573225478,8,22.68,-3.98,32.76,3.08
426,ust-koksa,100,RU,1573225479,82,50.27,85.62,-7.32,6.29
427,port hardy,75,CA,1573225479,87,50.7,-127.42,9.0,2.1
428,lingao,93,CN,1573225479,63,19.91,109.69,23.95,4.48
429,wanning,78,AT,1573225479,88,48.64,13.53,10.56,1.42
430,aripuana,99,BR,1573225480,70,-9.17,-60.63,30.09,1.46
431,cosamaloapan,7,MX,1573225480,89,18.36,-95.8,23.89,1.34
432,egvekinot,0,RU,1573225480,71,66.32,-179.17,-9.33,4.33
433,kaolinovo,0,BG,1573225480,63,43.62,27.12,22.22,1.79
434,ayacucho,75,PE,1573225481,55,-13.16,-74.23,18.0,2.6
435,rincon,40,PA,1573225481,88,8.46,-82.28,27.0,1.0
436,eureka,90,US,1573225196,100,40.8,-124.16,8.33,1.5
437,east london,20,ZA,1573225481,68,-33.02,27.91,20.0,7.7
438,bucerias,75,MX,1573225482,88,20.76,-105.33,27.22,3.44
439,killybegs,30,IE,1573225482,75,54.63,-8.45,7.0,3.6
440,vynohradove,100,UA,1573225482,82,46.37,32.94,17.0,4.0
441,winnemucca,1,US,1573225482,53,40.97,-117.74,-1.67,0.86
442,solnechnyy,0,RU,1573225482,59,50.72,136.64,-10.04,0.65
443,goure,14,NE,1573225483,9,13.98,10.27,36.11,2.68
444,anloga,20,GH,1573225483,62,5.79,0.9,32.0,3.6
445,aden,0,YE,1573225262,53,12.79,45.03,28.21,3.1
446,makinsk,100,KZ,1573225483,97,52.63,70.42,2.28,6.42
447,iralaya,2,HN,1573225484,79,15.0,-83.23,28.52,8.39
448,riberalta,75,BO,1573225484,78,-11.0,-66.08,28.0,1.49
449,bloomfield,1,US,1573225484,85,40.75,-92.42,-5.0,4.1
450,waitati,100,NZ,1573225484,43,-45.75,170.57,19.44,3.58
451,garissa,59,KE,1573225485,45,-0.46,39.64,31.61,4.63
452,berdavan,0,AM,1573225485,44,41.21,45.0,16.0,2.1
453,tynset,75,NO,1573225485,85,62.28,10.78,-8.0,2.1
454,baculin,22,PH,1573225485,87,7.45,126.58,22.62,2.11
455,opuwo,100,NA,1573225485,23,-18.06,13.84,30.49,2.68
456,tazovskiy,100,RU,1573225486,96,67.47,78.7,-21.67,5.63
457,ingham,0,AU,1573225486,86,-18.65,146.16,18.72,0.87
458,luderitz,60,NA,1573225482,56,-26.65,15.16,22.0,7.7
459,clyde river,90,CA,1573225486,85,70.47,-68.59,-7.0,5.7
460,cayenne,0,GF,1573225487,66,4.94,-52.33,31.0,6.2
461,locri,20,IT,1573225487,40,38.24,16.26,21.67,3.1
462,chupa,40,PE,1573225487,54,-15.11,-69.99,13.0,0.5
463,puerto el triunfo,47,SV,1573225487,62,13.27,-88.55,30.0,3.1
464,naryan-mar,99,RU,1573225488,95,67.67,53.09,-10.33,4.91
465,yarmouth,75,CA,1573225488,80,43.84,-66.12,5.0,5.7
466,brazzaville,40,CD,1573225488,46,-4.27,15.27,34.0,2.6
467,pokhara,53,NP,1573225488,78,28.21,83.99,17.75,1.7
468,pangnirtung,75,CA,1573225489,67,66.15,-65.72,-8.0,5.1
469,somerset east,68,ZA,1573225489,51,-32.72,25.59,16.4,7.5
470,nizhniy odes,0,RU,1573225489,95,63.64,54.86,-12.4,0.65
471,fairview,90,CA,1573225489,79,56.07,-118.38,-3.89,6.2
472,mariani,100,IN,1573225490,94,26.65,94.32,19.22,1.1
473,netivot,82,IL,1573225351,43,31.42,34.59,25.56,0.45
474,quepos,75,CR,1573225490,69,9.43,-84.16,24.0,8.2
475,leshukonskoye,100,RU,1573225491,92,64.9,45.76,-9.2,2.46
476,pundaguitan,27,PH,1573225491,72,6.37,126.17,27.88,1.83
477,biak,0,ID,1573225491,68,-0.91,122.88,27.98,2.15
478,ahuimanu,90,US,1573225491,88,21.44,-157.84,24.0,1.45
479,ranong,40,TH,1573225491,100,9.96,98.62,25.0,1.86
480,mandera,93,ET,1573225492,46,3.94,41.86,32.14,3.35
481,margate,40,AU,1573225492,72,-43.03,147.26,5.56,4.6
482,sibu,75,MY,1573225492,94,2.29,111.83,24.0,3.1
483,cervo,90,BR,1573225492,88,-22.19,-46.24,21.0,2.02
484,puerto ayacucho,4,CO,1573225493,66,5.66,-67.63,30.0,4.1
485,kyrylivka,99,UA,1573225493,77,47.65,37.3,15.56,2.08
486,ontario,1,US,1573225371,22,34.07,-117.65,18.89,2.1
487,caucaia,20,BR,1573225493,49,-3.73,-38.66,32.0,9.8
488,weyburn,100,CA,1573225174,85,49.67,-103.85,-3.33,2.68
489,mutare,0,MZ,1573225494,16,-18.97,32.67,33.8,4.24
490,englehart,1,CA,1573225494,78,47.82,-79.87,-13.0,3.6
491,richards bay,100,ZA,1573225494,76,-28.77,32.06,21.14,8.74
492,taltal,7,CL,1573225495,65,-25.41,-70.49,16.43,3.45
493,hervey bay,0,AU,1573225495,83,-25.3,152.85,22.0,4.6
494,klaksvik,91,FO,1573225495,69,62.23,-6.59,3.0,3.1
495,kushima,20,JP,1573225495,76,31.5,131.29,13.0,0.5
496,save,51,BJ,1573225495,43,8.04,2.49,33.52,2.26
497,saint-augustin,75,CA,1573225496,73,45.63,-73.98,-1.11,2.1
498,kloulklubed,75,PW,1573225496,88,7.04,134.26,26.0,2.6
499,hualmay,5,PE,1573225496,53,-11.1,-77.61,23.61,4.35
500,naze,75,NG,1573225496,94,5.43,7.07,26.0,1.5
501,turinsk,0,RU,1573225497,84,58.04,63.7,-7.4,2.09
502,hovd,75,NO,1573225497,68,63.83,10.7,-1.11,5.1
503,romny,100,UA,1573225497,88,50.74,33.49,8.36,3.87
504,san antonio,100,CL,1573225346,72,-33.58,-71.61,16.0,3.1
505,novoagansk,59,RU,1573225497,96,61.94,76.66,-21.59,4.89
506,vila franca do campo,20,PT,1573225498,68,37.72,-25.43,20.0,2.6
507,kasongo-lunda,89,CD,1573225498,62,-6.48,16.82,29.14,0.32
508,fujin,0,CN,1573225498,56,47.24,132.03,-6.39,5.04
509,mayna,100,RU,1573225498,72,53.0,91.49,3.52,3.15
510,walvis bay,0,NA,1573225499,46,-22.95,14.51,23.0,6.2
511,maun,75,BW,1573225499,16,-19.99,23.42,38.0,1.5
512,mandurah,1,AU,1573225263,25,-32.55,115.7,26.11,6.2
513,liepaja,100,LV,1573225499,93,56.52,21.02,8.0,4.1
514,ramacca,20,IT,1573225500,52,37.39,14.69,21.0,7.2
515,bambanglipuro,74,ID,1573225500,82,-7.95,110.28,23.16,1.26
516,khor,0,RU,1573225500,67,47.88,134.96,-9.1,5.13
517,whitefish,90,US,1573225500,86,48.41,-114.33,-0.57,0.87
518,gat,71,SN,1573225500,45,14.69,-16.54,29.0,7.2
519,lodja,68,CD,1573225501,61,-3.52,23.6,29.7,0.78
520,hengyang,58,CN,1573225501,46,26.89,112.6,15.91,2.13
521,basoko,58,CD,1573225501,70,1.23,23.61,29.0,1.19
522,djibo,0,BF,1573225502,15,14.1,-1.63,37.51,2.57
523,davidson,100,CA,1573225502,87,51.26,-105.98,-2.15,3.57
524,mao,20,DO,1573225429,78,19.55,-71.08,31.11,6.2
525,hoquiam,75,US,1573225503,100,46.98,-123.89,7.78,4.1
526,caravelas,33,BR,1573225503,43,-17.73,-39.27,31.73,4.36
527,praia,93,BR,1573225503,43,-20.25,-43.81,31.0,2.6
528,gawler,40,AU,1573225503,62,-34.6,138.75,12.22,3.1
529,jevargi,18,IN,1573225504,76,17.02,76.77,24.66,1.74
530,viedma,100,AR,1573225242,32,-40.81,-62.99,18.68,5.68
531,karasjok,75,NO,1573225504,79,69.47,25.52,-6.0,2.6
532,west wendover,1,US,1573225504,80,40.74,-114.07,-1.0,1.5
533,linares,100,CL,1573225505,42,-35.85,-71.6,22.49,2.03
534,soavinandriana,98,MG,1573225505,28,-19.17,46.74,29.36,3.2
535,leningradskiy,0,RU,1573225505,80,69.38,178.42,-7.86,5.51
536,mareeba,0,AU,1573225506,78,-16.99,145.42,22.0,2.1
537,vestmannaeyjar,75,IS,1573225506,70,63.44,-20.27,6.0,22.1
538,pennsville,40,US,1573225465,51,39.65,-75.52,5.0,8.2
539,sao gotardo,100,BR,1573225305,65,-19.31,-46.05,25.56,3.13
540,sao miguel do araguaia,11,BR,1573225507,30,-13.28,-50.16,40.6,0.61
541,humaita,40,AR,1573225507,57,-24.93,-65.37,27.0,3.6
542,kashmor,0,PK,1573225252,35,28.43,69.58,22.58,6.19
543,tual,100,ID,1573225508,75,-5.67,132.75,27.75,1.56
